Cocktail,Ingredients,Method,Process,Glass,Garnish,Notes,Characteristics,
,,,,,,,,Characteristics Search Bar
20th Century,1.5oz Gin,Shaken,#NAME?,Coupe,Lemon wheel on a pick,"Sounds weird AF, but its really tasty.",Gin,0
,0.75oz Cocchi Americano,,#NAME?,,,Bourbon instead of Gin + Sweet Vermouth instead of Cocchi Americano = 19th Century Cocktail by,Tart,
,0.5oz White Creme de Cacao,,#NAME?,,,Audrey Saunders.,,Characteristics: Legend
,0.5oz Lemon juice,,#NAME?,,,,,
,end,,,,,,,Base spirit(s) listed first
21st Century,2oz Blanco Tequila,Shaken,#NAME?,Coupe,No Garnish,This riff was created by Jim Meehan of PDT,Tequila,
,0.75oz Lemon,,#NAME?,,,,Tart,Low ABV: 1oz or less of 80 proof spirit
,0.5oz White Creme de Cacao,,#NAME?,,,,Herbaceous,
,3-sprays of Absinthe,,#NAME?,,,,,High ABV: 2.5oz or more of 80 proof spirit
,,,#NAME?,,,,,
,end,,,,,,,"Spirit forward: Base spirits/Modifying spirits are the dominant flavor, regardless of their ABV"
3 Dots and a Dash,1oz Aged Rhum Agricole,Swizzled,#NAME?,Hurricane or Collins,Lime wheel,The signature cocktail of a great tiki bar. ,Rum,
,1oz Aged Rum,,#NAME?,,2 Cherries,,Tart,Tart: self-explanatory
,0.5oz Falernum,,#NAME?,,Pineapple Leaves (if you have them),,Baking spices,
,0.5oz Dry Curacao,,#NAME?,,,,,"Spicy: Noticeable spicy sensation, either from ginger or peppers"
,1oz Lime juice,,,,,,,
,0.5oz Honey syrup,,,,,,,Bubbly: effervescent
,0.25oz Allspice Dram,,,,,,,
,end,,,,,,,"Fruit forward: Noticeable fruit characteristic, excluding lemon and lime"
Adonis,1.5oz Amontillado sherry,Stirred,#NAME?,Nick and Nora,Orange twist,"Classic Low-ABV stirred cocktail. Dry and light, but flavorful. ",Sherry / Vermouth,
,1.5oz Sweet vermouth (Cinzano 1757 di Torino),,#NAME?,,,,Low ABV,Herbaceous: Noticeable herbal and vegetal qualities 
,1 dash Angostura bitters,,#NAME?,,,,Spirit forward,
,1 dash Orange bitters,,#NAME?,,,,,Floral: Significant floral aroma
,end,,,,,,,
Afterglow,2oz Aquavit,Stirred,#NAME?,Nick and Nora,Lemon twist,,Aquavit,Baking spices: Noticeable baking spice flavor or aroma 
,0.5oz Dry vermouth,,#NAME?,,,,Herbaceous,
,0.25oz Bianco vermouth,,#NAME?,,,,Spirit forward,"Bitter: Significant bitter finish, distinct from a dry finish"
,0.25oz Amaro Averna,,#NAME?,,,,,
,Barspoon Maraschino,,,,,,,"Sweet: Pronounced sweetness, even if the overall drink is fairly balanced"
,1 dash of Orange bitters,,,,,,,
,end,,,,,,,Smokey: Noticeable smokey aroma
Airmail,1.5oz Aged Rum,Shaken,#NAME?,Flute,Lime wheel on a pick,,Rum,
,0.75oz Lime juice,,#NAME?,,,,Tart,Savory: Noticeable savory element 
,0.75oz Honey syrup,,#NAME?,,,,Bubbly,
,Fill with Sparkling Wine (white),,#NAME?,,,,,"Creamy: Creamy texture, but does not necessarily involve diary "
,,,#NAME?,,,,,
,end,,,,,,,
Alaska,2oz Gin,Stirred,#NAME?,Coupe,Lemon twist,Also great with Miracle Mile Castillian bitters instead of Orange bitters,Gin,
,0.5oz Yellow Chartreuse,,#NAME?,,,,High ABV,
,0.5oz Dry Vermouth,,#NAME?,,,,Herbaceous,
,2 dashes of Orange bitters,,#NAME?,,,,,
,end,,,,,,,
Amaretto Sour,1.5oz Amaretto ,2 Cube Shaken,#NAME?,Rocks glass,Angostura bitters flourish,"Jeffrey Morgenthaler created this interpretation of the classic, and it's pretty damn good. ",Amaretto,
,0.75oz 100proof bourbon,,- Add 2 kold draft cubes ,,Lemon twist,,Tart,
,1oz lemon,,#NAME?,,Cherry,,Sweet,
,0.25oz Simple syrup,,- Add 2-3 kold draft cubes to the glass,,,,Baking spices,
,0.5oz Egg White,,#NAME?,,,,,
,Top with flourishes of Angostura bitters,,#NAME?,,,,,
,end,,,,,,,
Americano,1.5oz Sweet Vermouth (Cinzano 1757 di Torino),Built ,#NAME?,Collins,Orange twist,Sparkling white wine instead of Club Soda = Americano Royal,Vermouth / Campari,
,1.5oz Campari,,#NAME?,,,,Low ABV,
,Fill with Club soda,,#NAME?,,,,Bubbly,
,,,#NAME?,,,,Bitter,
,end,,,,,,,
American Trilogy,1.25oz Rye,Built / Stirred,#NAME?,Rocks glass,Orange twist,"Sounds like a classic cocktail, but its actually pretty modern. ",Rye / Apple Brandy,
,0.75oz Apple Brandy,,#NAME?,,Lemon twist,My personal favorite Old-fashioned riff.,Spirit forward,
,0.25oz Rich Demerara syrup,,#NAME?,,,,Fruit forward,
,1 dash Angostura bitters,,#NAME?,,,,Baking spices,
,1 dash Orange bitters,,,,,,,
,,,,,,,,
Aperol Spritz,2oz Aperol,Built,#NAME?,Wine glass,Grapefruit twist,Campari instead of Aperol + orange twist instead of grapefruit twist = Campari Spritz,Low ABV,
,1oz Club soda,,#NAME?,,,,Bubbly,
,2oz Sparkling Wine (white),,#NAME?,,,,Bitter,
,,,,,,,,
Archangel ,2.5oz Gin,Stirred,#NAME?,Nick and Nora,Cucumber slice,"One of the few drinks that breaks the ""no produce in a stirred cocktail"" rule.",Gin,
,0.75oz Aperol,,#NAME?,,,Cynar instead of Aperol = Chin Up cocktail.,Spirit forward,
,5 slices of cucumber ,,#NAME?,,,,Herbaceous,
,,,#NAME?,,,,,
,,,#NAME?,,,,,
,,,,,,,,
Army Navy,2oz Gin,Shaken,#NAME?,Coupe,,"Also great with Old Tom gin, in which case increase the Lemon juice to 1oz",Gin,
,0.75oz Lemon juice,,#NAME?,,,,Tart,
,0.75oz Orgeat ,,#NAME?,,,,Floral,
,1 dash of Angostura bitters,,,,,,,
,,,,,,,,
Aviation,2oz Gin,Shaken,#NAME?,Coupe,Cherry,I've seen versions of this cocktail that only use a touch of Violette for color.,Gin,
,0.75oz Lemon,,#NAME?,,,"I want people to notice the Violette, so make sure they like floral notes.",Tart,
,0.5oz Maraschino,,#NAME?,,,,Floral,
,0.5oz Creme de Violette ,,,,,Remove the Violette + increase the simple syrup to 0.5oz = Casino Cocktail,,
,1 Barspoon of Simple syrup,,,,,,,
,,,,,,,,
Bamboo,1.5oz Fino sherry ,Stirred,#NAME?,Nick and Nora,Lemon twist,This is one of those classics that everyone has their own rendition of.,Sherry / Vermouth,
,0.75oz Dry Vermouth,,#NAME?,,Olive,"I like to keep it closer to a low-ABV dry martini, but feel free to use all ",Low ABV,
,0.75oz Blanc Vermouth (Cocchi Americano),,#NAME?,,,blanc vermouth instead for a richer mouthfeel.,Spirit forward,
,2 dashes Orange bitters,,#NAME?,,,,,
,,,,,,,,
Bees Knees,2oz Gin,Shaken,#NAME?,Coupe,Lemon wheel on a pick,,Gin,
,1oz Lemon juice,,#NAME?,,,,Tart,
,0.75oz Honey syrup,,#NAME?,,,,,
,,,#NAME?,,,,,
Bending Blades,1.5oz Blanco Tequila,Stirred,#NAME?,Nick and Nora,Grapefruit twist,"Shamelessly stolen from Chris Day, and slightly altered because I DGAF. ",Tequila,
,0.5oz Suze ,,#NAME?,,,,Spirit forward,
,0.5oz Giffard Pamplemousse,,#NAME?,,,,Fruit forward,
,0.5oz Fino sherry,,#NAME?,,,,Bitter,
,,,,,,,,
Bensonhurst,2oz Rye ,Stirred,#NAME?,Nick and Nora,Lemon twist,Originally invented by Chad Solomon (who was probably a big deal or whatever).,Rye,
,0.5oz Punt e Mes Sweet Vermouth,,#NAME?,,,Phil Ward of Milk and Honey came up with his own version which substitutes the,Spirit forward,
,0.5oz Cynar,,#NAME?,,,"Punt e Mes for dry vermouth, making it lighter on the palate.",Herbaceous,
,Barspoon Maraschino,,#NAME?,,,,Bitter,
,,,,,,,,
Bijou,1.5oz Gin,Stirred,#NAME?,Nick and Nora,Lemon twist,Also good on the rocks. ,Gin,
,1oz Sweet Vermouth (Cinzano 1757 di Torino),,#NAME?,,,"Apparently, if you rinse the glass with Campari first, it's known as a ""Tailspin"". ",High ABV,
,0.75oz Green Chartreuse,,#NAME?,,,"I don't care, try it - it's probably good that way. Dumb name, though. ",Spirit forward,
,2 dashes of Orange bitters,,#NAME?,,,,Herbaceous,
,,,,,,,,
Bitter Admiral,1oz Gin,Built,#NAME?,Collins,Orange twist,A solid way to get a little brunch buzz going. ,Gin,
,1oz Campari,,#NAME?,,,,Tart,
,Fill with Grapefruit juice,,#NAME?,,,,Bitter,
,,,,,,,,
Bitter Giuseppe,1.5oz Sweet Vermouth (Cinzano 1757 di Torino) ,Built / Stirred,#NAME?,Rocks glass,Grapefruit twist,"Easily my favorite stirred low-ABV cocktail. I first had it at Trick Dog in SF, and after one sip, I asked the",Vermouth / Amaro,
,1.5oz Cynar,,#NAME?,,,"bartender for some receipt paper, a pen, and a list of the specs. I've adapted it a little bit since then; after",Low ABV,
,1 Lemon disk,,#NAME?,,,becoming infatuated with the grapefruit twist variation I encountered at the Normandie Club. ,Spirit forward,
,6 drops of Saline solution,,#NAME?,,,,Bitter,
,2 dashes of Grapefruit bitters,,#NAME?,,,"This was created circa 2007 by Stephen Cole of The Violet Hour, and named after chef Giuseppe Tentori.",,
,,,,,,,,
Blood and Sand,1oz Blended Scotch ,Shaken,#NAME?,Rocks glass,Cherry,"If you don't have Blood Orange juice, substitute 0.75oz Orange juice + 0.25oz Lemon juice instead.",Scotch,
,0.75oz Punt e Mes Sweet Vermouth,,#NAME?,,,,Tart,
,0.75oz Cherry Heering,,#NAME?,,,"This is one of those classic cocktails that every bartender worth their salt knows about. However, they ",Sweet,
,1oz Blood Orange juice ,,#NAME?,,,also know that the original specs need some tweaking in order to be palatable (with today's ingredients). ,Smokey,
,1 Spray of Laphroaig,,#NAME?,,,,,
,,,,,,,,
Bon Poire,1.75oz Gin,Stirred,#NAME?,Nick and Nora,Lemon twist - discard,Pear-centric Martini riff created by Old Man Winter himself,Gin,
,0.5oz Cocchi Americano,,#NAME?,,,,Spirit forward,
,0.25oz Dry Vermouth,,#NAME?,,,,Fruit forward,
,0.25oz Pear Brandy,,#NAME?,,,,,
,,,,,,,,
Boulevardier,1.5oz Bourbon,Stirred,#NAME?,Rocks glass,Orange twist,"Add 1 dash of chocolate bitters + cherry garnish instead of a twist + served up = Left Hand, created by",Bourbon,
,1oz Sweet Vermouth (Cinzano 1757 di Torino),,#NAME?,,,"my bartender hero, Sam Ross. When a guest orders this, I double check to see if they prefer it up.",Spirit forward,
,0.75oz Campari,,#NAME?,,, I serve every stirred drink with Campari on ice; Dale DeGroff taught me that.,Bitter,
,,,,,,,,
Bramble,1.5oz Gin,Shaken,#NAME?,Rocks glass,Lemon wheel,Created by Dick Bradsell at Fred's Club in London in 1984. He's the same guy who created the,Gin,
